name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date
Honduras,HND,HNL,102,24.62,3080.948,75442.737,2023-07-01
Croatia,HRV,EUR,4.09,0.90699,18583.329,17633.299,2023-07-01
Hungary,HUN,HUF,1400,351.0725,18383.788,6819608.732,2023-07-01
Indonesia,IDN,IDR,38000,15080,4799.1,71265931.89,2023-07-01
India,IND,INR,209,82.2488,2366.31,190164.833,2023-07-01
Ireland,IRL,EUR,5.1,0.90699,103290.607,98010.109,2023-07-01
Israel,ISR,ILS,17,3.66365,54967.466,184669.49,2023-07-01
Italy,ITA,EUR,5.8,0.90699,35043.092,33251.594,2023-07-01
Jordan,JOR,JOD,2.5,0.70895,4317.09,3060.811,2023-07-01
Japan,JPN,JPY,450,142.08,34004.657,4471549.14,2023-07-01
South Korea,KOR,KRW,5200,1274.65,32394.683,41836005.87,2023-07-01
Kuwait,KWT,KWD,1.4,0.3071,37624.95,11520.321,2023-07-01
Lebanon,LBN,LBP,430000,85500,3283.414,82855099.216,2023-07-01
Sri Lanka,LKA,LKR,1820,327.5,3341.996,1078237.08,2023-07-01
Lithuania,LTU,EUR,3.85,0.90699,25152.052,23866.211,2023-07-01
Latvia,LVA,EUR,3.7,0.90699,21566.931,20464.371,2023-07-01
Moldova,MDA,MDL,63,17.665,5726.139,108446.585,2023-07-01
Mexico,MEX,MXN,89,16.7025,11259.75,226628.933,2023-07-01
Malaysia,MYS,MYR,13.15,4.509,12465.612,54862.122,2023-07-01
Nicaragua,NIC,NIO,159,36.55,2371.681,85086.901,2023-07-01
Netherlands,NLD,EUR,5.33,0.90699,57427.756,54491.892,2023-07-01
Norway,NOR,NOK,70,10.1165,108438.547,1042546.263,2023-07-01
New Zealand,NZL,NZD,8.1,1.60681288663935,47284.147,74353.17,2023-07-01
Oman,OMN,OMR,1.42,0.38505,23446.795,9015.293,2023-07-01
Pakistan,PAK,PKR,985,286.25,1650.678,293532.305,2023-07-01
Peru,PER,PEN,14.9,3.60375,7336.241,28129.592,2023-07-01
Philippines,PHL,PHP,155,54.925,3623.593,197405.351,2023-07-01
Poland,POL,PLN,19.9,3.9946,18278.144,81464.776,2023-07-01
Portugal,PRT,EUR,4.9,0.90699,24798.524,23530.756,2023-07-01
Qatar,QAT,QAR,14,3.64,80572.587,293284.215,2023-07-01
Romania,ROU,RON,14.5,4.4761,15821.133,74033.726,2023-07-01
Saudi Arabia,SAU,SAR,19,3.7516,34454.212,129203.296,2023-07-01
Singapore,SGP,SGD,6.45,1.3278,88428.724,121913.734,2023-07-01
Slovakia,SVK,EUR,4.3,0.90699,21261.948,20174.979,2023-07-01
Slovenia,SVN,EUR,3.6,0.90699,28526.671,27068.309,2023-07-01
Sweden,SWE,SEK,60.27,10.5075,56114.285,567553.982,2023-07-01
Thailand,THA,THB,128,34.22875,7072.755,247980.335,2023-07-01
Turkey,TUR,TRY,95,26.92675,10621.965,176029.268,2023-07-01
Taiwan,TWN,TWD,75,31.4265,32609.595,971972.447,2023-07-01
Ukraine,UKR,UAH,105,36.93145,4582.609,148195.287,2023-07-01
Uruguay,URY,UYU,259,37.765,19737.342,812540.335,2023-07-01
United States,USA,USD,5.58,1,77191.871,77191.871,2023-07-01
Vietnam,VNM,VND,74000,23687.5,4101.73,96004167.138,2023-07-01
South Africa,ZAF,ZAR,49.9,17.78375,6684.479,109374.794,2023-07-01
United Arab Emirates,ARE,AED,18,3.67295,51908.699,190634.696,2024-01-01
Argentina,ARG,ARS,3150,821.44,14024.239,4122055.867,2024-01-01
Australia,AUS,AUD,7.7,1.51745068285281,65434.328,98423.077,2024-01-01
Austria,AUT,EUR,5.01,0.91865,57081.047,52775.588,2024-01-01
Azerbaijan,AZE,AZN,5.95,1.7025,7525.428,12793.228,2024-01-01
Belgium,BEL,EUR,4.9,0.91865,53659.317,49611.949,2024-01-01
Bahrain,BHR,BHD,1.7,0.37695,28262.187,10626.582,2024-01-01
Brazil,BRA,BRL,23.9,4.96975,10642.437,53152.232,2024-01-01
Canada,CAN,CAD,7.47,1.34465,53547.719,72284.529,2024-01-01
Switzerland,CHE,CHF,7.1,0.86935,100413.067,90220.136,2024-01-01
Chile,CHL,CLP,4050,908.85,16815.783,14121130.627,2024-01-01
China,CHN,CNY,25,7.2013,12513.871,88648.261,2024-01-01
Colombia,COL,COP,19900,3911.86,6971.669,30152817.34,2024-01-01
Costa Rica,CRI,CRC,2950,516.455,16390.222,8915932.446,2024-01-01
Czech Republic,CZE,CZK,105,22.7725,30599.595,679252.355,2024-01-01
Germany,DEU,EUR,5.49,0.91865,52726.965,48749.922,2024-01-01
Denmark,DNK,DKK,39,6.85195,68299.821,470565.45,2024-01-01
Egypt,EGY,EGP,85,30.9,3727.657,96123.855,2024-01-01
Spain,ESP,EUR,5.3,0.91865,33071.349,30576.872,2024-01-01
Estonia,EST,EUR,4.45,0.91865,29838.985,27588.316,2024-01-01
Euro area,EUZ,EUR,5.39,0.91865,44812.4646937434,41432.3935624445,2024-01-01
Finland,FIN,EUR,5.75,0.91865,54007.975,49934.309,2024-01-01
France,FRA,EUR,5.4,0.91865,46000.803,42531.095,2024-01-01
Britain,GBR,GBP,4.49,0.78629,49098.977,39487.32,2024-01-01
Greece,GRC,EUR,4.7,0.91865,22805.197,21085.067,2024-01-01
Guatemala,GTM,GTQ,29,7.8149,5368.885,42054.883,2024-01-01
Hong Kong,HKG,HKD,23,7.818,50029.777,391712.309,2024-01-01
Honduras,HND,HNL,102,24.68,3330.339,81931.88,2024-01-01
Croatia,HRV,EUR,4.38,0.91865,21347.327,19737.159,2024-01-01
Hungary,HUN,HUF,1400,352.0509,22146.885,7817056.563,2024-01-01
Indonesia,IDN,IDR,38000,15635,4942.361,75306188.823,2024-01-01
India,IND,INR,215,83.06625,2500.356,207029.491,2024-01-01
Ireland,IRL,EUR,5.5,0.91865,104272.075,96407.133,2024-01-01
Israel,ISR,ILS,17,3.76425,52219.276,191507.652,2024-01-01
Italy,ITA,EUR,5.8,0.91865,38325.839,35435.031,2024-01-01
Jordan,JOR,JOD,2.5,0.709,4497.524,3188.738,2024-01-01
Japan,JPN,JPY,450,147.86,33805.939,4749433.499,2024-01-01
South Korea,KOR,KRW,5500,1338.9,33192.046,43337609.824,2024-01-01
Kuwait,KWT,KWD,1.4,0.30775,32638.041,10025.209,2024-01-01
Lebanon,LBN,LBP,430000,89500,,,2024-01-01
Sri Lanka,LKA,LKR,1820,319.95,,,2024-01-01
Lithuania,LTU,EUR,3.85,0.91865,27026.117,24987.615,2024-01-01
Latvia,LVA,EUR,3.7,0.91865,23153.479,21407.079,2024-01-01
Moldova,MDA,MDL,63,17.7,6832.465,123812.299,2024-01-01
Mexico,MEX,MXN,89,17.1385,13641.613,242257.537,2024-01-01
Malaysia,MYS,MYR,13.15,4.7265,12570.46,57329.141,2024-01-01
Nicaragua,NIC,NIO,159,36.6243,2608.085,94967.033,2024-01-01
Netherlands,NLD,EUR,5.53,0.91865,62718.681,57987.992,2024-01-01
Norway,NOR,NOK,75,10.5057,87739.41,926820.638,2024-01-01
New Zealand,NZL,NZD,8.2,1.63813580145794,47536.739,77364.689,2024-01-01
Oman,OMN,OMR,1.42,0.385,21623.401,8314.198,2024-01-01
Pakistan,PAK,PKR,1065,279.75,1460.74,363066.663,2024-01-01
Peru,PER,PEN,15.9,3.7418,7932.905,29697.16,2024-01-01
Philippines,PHL,PHP,161,56.3,3867.672,215160.12,2024-01-01
Poland,POL,PLN,19.9,4.00785,21995.995,92406.092,2024-01-01
Portugal,PRT,EUR,4.95,0.91865,27880.066,25777.153,2024-01-01
Qatar,QAT,QAR,14,3.641,78696.207,286454.195,2024-01-01
Romania,ROU,RON,15.65,4.57225,18175.989,83162.188,2024-01-01
Saudi Arabia,SAU,SAR,19,3.7506,32529.702,121986.384,2024-01-01
Singapore,SGP,SGD,6.65,1.3415,84734.277,113778.363,2024-01-01
Slovakia,SVK,EUR,4.3,0.91865,24337.251,22501.562,2024-01-01
Slovenia,SVN,EUR,3.9,0.91865,32233.058,29801.811,2024-01-01
Sweden,SWE,SEK,61.29,10.44965,56224.808,596554.283,2024-01-01
Thailand,THA,THB,135,35.6775,7337.194,255350.393,2024-01-01
Turkey,TUR,TRY,120,30.25475,12849,304590.401,2024-01-01
Taiwan,TWN,TWD,75,31.3475,32443.705,1010853.599,2024-01-01
Ukraine,UKR,UAH,110,37.4443,5337.491,195637.25,2024-01-01
Uruguay,URY,UYU,275,39.065,21656.979,840754.624,2024-01-01
United States,USA,USD,5.69,1,81632.253,81632.253,2024-01-01
Venezuela,VEN,VES,178.13,36.1007,3659.195,107201.671,2024-01-01
Vietnam,VNM,VND,74000,24565,4324.049,101912409.712,2024-01-01
South Africa,ZAF,ZAR,51.9,19.18625,6138.248,113283.932,2024-01-01
United Arab Emirates,ARE,AED,18,3.673,51908.699,190634.696,2024-07-01
Argentina,ARG,ARS,6100,931.9742,14024.239,4122055.867,2024-07-01
Australia,AUS,AUD,7.75,1.53139356814701,65434.328,98423.077,2024-07-01
Austria,AUT,EUR,5.15,0.92413,57081.047,52775.588,2024-07-01
Azerbaijan,AZE,AZN,6.15,1.7,7525.428,12793.228,2024-07-01
Belgium,BEL,EUR,4.9,0.92413,53659.317,49611.949,2024-07-01
Bahrain,BHR,BHD,1.7,0.377,28262.187,10626.582,2024-07-01
Brazil,BRA,BRL,23.9,5.65275,10642.437,53152.232,2024-07-01
Canada,CAN,CAD,7.62,1.38145,53547.719,72284.529,2024-07-01
Switzerland,CHE,CHF,7.1,0.88025,100413.067,90220.136,2024-07-01
Chile,CHL,CLP,4290,944.85,16815.783,14121130.627,2024-07-01
China,CHN,CNY,25.5,7.2276,12513.871,88648.261,2024-07-01
Colombia,COL,COP,19900,4058.99,6971.669,30152817.34,2024-07-01
Costa Rica,CRI,CRC,2950,524.47,16390.222,8915932.446,2024-07-01
Czech Republic,CZE,CZK,109,23.53295,30599.595,679252.355,2024-07-01
Germany,DEU,EUR,6.05,0.92413,52726.965,48749.922,2024-07-01
Denmark,DNK,DKK,39,6.8959,68299.821,470565.45,2024-07-01
Egypt,EGY,EGP,120,48.6,3727.657,96123.855,2024-07-01
Spain,ESP,EUR,5.4,0.92413,33071.349,30576.872,2024-07-01
Estonia,EST,EUR,4.5,0.92413,29838.985,27588.316,2024-07-01
Euro area,EUZ,EUR,5.6,0.92413,44812.4646937434,41432.3935624445,2024-07-01
Finland,FIN,EUR,5.95,0.92413,54007.975,49934.309,2024-07-01
France,FRA,EUR,5.5,0.92413,46000.803,42531.095,2024-07-01
Britain,GBR,GBP,4.59,0.77854,49098.977,39487.32,2024-07-01
Greece,GRC,EUR,4.7,0.92413,22805.197,21085.067,2024-07-01
Guatemala,GTM,GTQ,31,7.7458,5368.885,42054.883,2024-07-01
Hong Kong,HKG,HKD,23,7.812,50029.777,391712.309,2024-07-01
Honduras,HND,HNL,102,24.79555,3330.339,81931.88,2024-07-01
Croatia,HRV,EUR,4.32,0.92413,21347.327,19737.159,2024-07-01
Hungary,HUN,HUF,1420,364.17615,22146.885,7817056.563,2024-07-01
Indonesia,IDN,IDR,40000,16260,4942.361,75306188.823,2024-07-01
India,IND,INR,230,83.72875,2500.356,207029.491,2024-07-01
Ireland,IRL,EUR,5.65,0.92413,104272.075,96407.133,2024-07-01
Israel,ISR,ILS,17,3.76125,52219.276,191507.652,2024-07-01
Italy,ITA,EUR,5.8,0.92413,38325.839,35435.031,2024-07-01
Jordan,JOR,JOD,2.5,0.709,4497.524,3188.738,2024-07-01
Japan,JPN,JPY,480,150.46,33805.939,4749433.499,2024-07-01
South Korea,KOR,KRW,5500,1376.75,33192.046,43337609.824,2024-07-01
Kuwait,KWT,KWD,1.4,0.30555,32638.041,10025.209,2024-07-01
Lebanon,LBN,LBP,460000,89550,,,2024-07-01
Lithuania,LTU,EUR,4.1,0.92413,27026.117,24987.615,2024-07-01
Latvia,LVA,EUR,3.7,0.92413,23153.479,21407.079,2024-07-01
Moldova,MDA,MDL,63,17.63,6832.465,123812.299,2024-07-01
Mexico,MEX,MXN,95,18.6305,13641.613,242257.537,2024-07-01
Malaysia,MYS,MYR,13.15,4.5945,12570.46,57329.141,2024-07-01
Nicaragua,NIC,NIO,159,36.6243,2608.085,94967.033,2024-07-01
Netherlands,NLD,EUR,5.69,0.92413,62718.681,57987.992,2024-07-01
Norway,NOR,NOK,74,10.9345,87739.41,926820.638,2024-07-01
New Zealand,NZL,NZD,8.4,1.68364340432696,47536.739,77364.689,2024-07-01
Oman,OMN,OMR,1.53,0.385,21623.401,8314.198,2024-07-01
Pakistan,PAK,PKR,1065,278.75,1460.74,363066.663,2024-07-01
Peru,PER,PEN,16.9,3.7181,7932.905,29697.16,2024-07-01
Philippines,PHL,PHP,167,58.3755,3867.672,215160.12,2024-07-01
Poland,POL,PLN,20.9,3.96845,21995.995,92406.092,2024-07-01
Portugal,PRT,EUR,4.95,0.92413,27880.066,25777.153,2024-07-01
Qatar,QAT,QAR,14,3.641,78696.207,286454.195,2024-07-01
Romania,ROU,RON,16.25,4.60025,18175.989,83162.188,2024-07-01
Saudi Arabia,SAU,SAR,19,3.7519,32529.702,121986.384,2024-07-01
Singapore,SGP,SGD,6.65,1.3376,84734.277,113778.363,2024-07-01
Slovakia,SVK,EUR,4.5,0.92413,24337.251,22501.562,2024-07-01
Slovenia,SVN,EUR,3.9,0.92413,32233.058,29801.811,2024-07-01
Sweden,SWE,SEK,60,10.7176,56224.808,596554.283,2024-07-01
Thailand,THA,THB,135,35.645,7337.194,255350.393,2024-07-01
Turkey,TUR,TRY,155,33.1104,12849,304590.401,2024-07-01
Taiwan,TWN,TWD,75,32.87,32443.705,1010853.599,2024-07-01
Ukraine,UKR,UAH,118,41.05,5337.491,195637.25,2024-07-01
Uruguay,URY,UYU,285,40.3,21656.979,840754.624,2024-07-01
United States,USA,USD,5.69,1,81632.253,81632.253,2024-07-01
Venezuela,VEN,VES,181.6,36.56705,3659.195,107201.671,2024-07-01
Vietnam,VNM,VND,76000,25247.5,4324.049,101912409.712,2024-07-01
South Africa,ZAF,ZAR,51.9,18.19125,6138.248,113283.932,2024-07-01
